#Evid,Magnitude,Epoch(UTC),Time UTC,Time Local,Distance From,Lat,Lon,Depth Km,Depth Mi
60454947,1.4,1348332405.38,2012/09/22 16:46:45,2012/09/22 09:46:45 PDT,"30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR",43.7423,-121.2412,0.7,0.4
10808758,1.1,1290580156.8,2010/11/24 06:29:16,2010/11/23 22:29:16 PST,"9.0 km (   5.6 mi) ENE (  73. azimuth) from Duvall, WA",47.7658,-121.8697,6.4,4.0
60497847,0.7,1359368269.51,2013/01/28 10:17:49,2013/01/28 02:17:49 PST,"46.6 km (  28.9 mi) ESE ( 119. azimuth) from Longview, WA",45.9352,-122.4130,21.2,13.2
60070613,0.7,1407277462.28,2014/08/05 22:24:22,2014/08/05 15:24:22 PDT,"14.6 km (   9.1 mi) ENE (  73. azimuth) from Poulsbo, WA",47.7727,-122.4583,5.0,3.1
10819498,1.3,1312364068.28,2011/08/03 09:34:28,2011/08/03 02:34:28 PDT,"12.0 km (   7.5 mi) SSW ( 214. azimuth) from Newhalem, WA",48.5837,-121.3345,12.4,7.7
10830543,1.5,1321387333.66,2011/11/15 20:02:13,2011/11/15 12:02:13 PST,"28.0 km (  17.4 mi) ESE ( 104. azimuth) from Grants Pass, OR",42.378,-122.9962,0.0,0.0
60477846,0.8,1350521722.85,2012/10/18 00:55:22,2012/10/17 17:55:22 PDT,"50.6 km (  31.5 mi) WNW ( 282. azimuth) from Maupin, OR",45.267,-121.7130,10.7,6.6
10810738,2.0,1299018168.7,2011/03/01 22:22:48,2011/03/01 14:22:48 PST,"9.1 km (   5.6 mi) SW  ( 217. azimuth) from Kennewick, WA",46.1377,-119.1933,4.7,2.9
60757532,1.7,1399393585.88,2014/05/06 16:26:25,2014/05/06 09:26:25 PDT,"15.3 km (   9.5 mi) NNE (  15. azimuth) from Portland, OR",45.6678,-122.5682,13.6,8.4
60778582,2.4,1400706825.75,2014/05/21 21:13:45,2014/05/21 14:13:45 PDT,"66.4 km (  41.2 mi) W   ( 265. azimuth) from Penticton, BC",49.4452,-120.4978,0.0,0.0
60967481,1.9,1423746615.39,2015/02/12 13:10:15,2015/02/12 05:10:15 PST,"24.0 km (  14.9 mi) SSW ( 200. azimuth) from Bellingham, WA",48.5607,-122.5960,22.1,13.7
10821018,1.5,1312895567.88,2011/08/09 13:12:47,2011/08/09 06:12:47 PDT,"11.2 km (   7.0 mi) N   ( 349. azimuth) from Morton, WA",46.6572,-122.3028,14.8,9.2
